Column,First Author,Second Author,Third Author,Fourth Author,Fifth Author,Sixth Author,Title,Abstract
x,Alicia Hofelich Mohr,Jacob Carlson,Joel Herndon,Mikala Narlock,Shawna Taylor,,Utilizing External Partnerships in Data Archiving,"<p>In the past several years, the Roper Center for Public Opinion Research, the world&rsquo;s oldest archive of social science data and the largest specializing in public opinion data, has increasingly cultivated partnerships and collaborations with other institutions. Our primary collaboration has been with Digital Divide Data (DDD), a company based in India, Cambodia, Laos, and Kenya that provides youth development through education and employment programs to underserved communities. DDD provides students with paid positions that give them the opportunity to learn how to interpret and clean survey data, skills which they then use in their educational and career pursuits. Through joint efforts with DDD, Roper has been able to target the conversion of over 600 of our historical ASCII datasets to modern formats as well as processing of over 100,000 questions from toplines incoming daily for entry into our question-level iPoll database. This presentation will provide an overview of our ASCII conversion and question-level curation projects, DDD and their mission, our training and review processes, and potential future projects.</p>"
x,Alisa Rod,Meghan Goodchild,,,,,CESSDA Data Catalogue and ELSST integration,"<p>CESSDA Data Catalogue (CDC) contains descriptions of more than 40,000 data collections held by CESSDA&rsquo;s Service Providers (SP), originating from over 20 European countries. The descriptions follow the DDI metadata standard and are harvested through OAI-PMH from the SPs. A central way of discovering data collections in the CDC is through the use of keywords. Many SPs use CESSDAs own thesaurus for the social sciences, European Language Social Science Thesaurus (ELSST), for keywords. ELSST aims to cover all relevant research subjects within the social science and consists of over 3,300 concepts available in 16 languages through an interactive webservice.</p>
<p>In order to increase data discoverability, and fully utilize the structure of ELSST, we wanted to integrate CDC and ELSST. An important part was to maintain the user friendly UI of CDC, and at the same time support the complexities of ELSST. As a solution for this, the integration between the two services are done using API lookups of relevant metadata elements, presenting themselves as links for the user. Whenever a user discovers a data collection in CDC, there is a check to find out if a given keyword describing the data collection exists as a concept in ELSST. If this is the case, a link to the concept in ELSST is generated. The link will take the user to the concept in ELSST, where the user can read more about the concept and navigate through the thesaurus structure. From ELSST the user can directly search for data collections in the CDC marked with concepts the user discovers.</p>
<p>The integration between the services is both simple and powerful. It enhances the functionality of both with regards to data discovery at the same time avoiding introduction of unnecessary complexities.</p>"
x,Alison Sizer,,,,,,Venturing Beyond our Silos:  Results from a Survey of Canadian Data Repository Administrators,"<p>The academic library community has a long history of collaboration demonstrated by the global adoption of common standards in our work. Despite the widespread use of the same standards and platforms, too few examples exist of academic libraries navigating beyond silos to shared infrastructure and services. As the scope of academic libraries grows to support research data as part of the scholarly resources that we steward, is it possible to develop shared research data management (RDM) services and infrastructures collaboratively? Six years have passed since a recommendation was made by Canada's national research library association to establish a national data repository that would provide a robust, scalable, and affordable shared service. Building a national repository together would harness available but limited and distributed expertise in RDM, and encourage the collective creation and reuse of materials supporting training, user support, and outreach. Since 2019, Borealis began formally offering the service nationally, governed in partnership with regional academic library consortia, which now supports over 70 Canadian institutions, each managing a locally-branded collection and providing local support to researchers.<br><br>Has this push for greater equity been realized by Borealis and what are the experiences of its institutional administrators? This presentation reports the results of a community-led survey of Canada's Borealis administrators, focusing on their individual perspectives on challenges, barriers, and needs of the emerging community. Overall, the results of the survey highlight a unique effort to build equitable data sharing infrastructure that is national in scope and reflective of community needs. Understanding both the infrastructure demands and the needs for support from our community provides insights on how to plan future programs and software development initiatives. Learning from our experiences and our community can benefit other national and international large-scale repository initiatives in charting the future of data.</p>"
x,Amanda Tickner,,,,,,What A Rig: Starting a Map Library at a Small Institution,"<p>As a small university on the east coast of Canada, Cape Breton University has seen a number of rapid changes in recent years. With new librarians come future-thinking projects, including the development of new collections as part of future-planning for library needs and use to meet the university's growth.</p>
<p>In order to meet anticipated future needs, I have undertaken the proposal, development, and execution of a new print map collection for the university. In this talk I will share how I made a new collection happen, why I did so at a time of shrinking map collections, and what I anticipate the future of this map collection will be in the local, regional, and Canadian national context.</p>"
x,Amber Leahey,Zack Taylor,Leanne Trimble,,,,Canadian Census Data Discovery Partnership (CCDDP): Census Data Discovery and Access in Canada: Stakeholder Perspectives,"<p>The discovery and access of historical and contemporary census data for use in research poses significant challenges in Canada. With distributed discovery and access portals including government, archives, libraries, and research projects, this necessitates collaborative efforts among various stakeholders. This panel aims to present a comprehensive overview of the Canadian Census Data Discovery Partnership (CCDDP), a SSHRC funded partnership project (2020-2023), focused on bringing together census data stakeholders, disseminators, and stewards, aiming to discuss challenges, innovations, and collaborative initiatives developed to enhance the discoverability and access to Canadian census data. Experts from key stakeholders groups, including the Library and Archives Canada (LAC), CCDDP project committee, and Statistics Canada, will provide unique insights into their contributions and experiences, underscoring the critical need for collective stewardship of valuable census data in Canada.<br><br>CCDDP Project Overview: This presentation will delve into the CCDDP's comprehensive census data inventory (1666-2021) and user needs analysis, shedding light on the current state of census data discovery and access. Additionally, it will showcase the prototype of the census data discovery portal, developed as a solution for finding historical and contemporary census data in Canada, emphasizing its role as a distributed discovery tool for users.<br><br>LAC Census Search: This segment will feature insights from Library and Archives Canada on the challenges and successes encountered in facilitating the discovery and access to census data. The presentation will highlight the importance of effective data management and search tools, and the role of the LAC Census Search in this context.<br><br>Statistics Canada: This section will explore the innovative census data dissemination tools and access models introduced by Statistics Canada. A representative from Statistics Canada will share insights into the latest strategies and technologies employed to enhance data dissemination, facilitating improved access for a broader user base.</p>"
x,Amy Kirchhoff,David Lowe,Jen Ferguson,Todd Suomela,R. David Beales,,Building an Automatic Answering Machine to Panel SurveyQuestions,"<p><strong><em>BUILDING AN AUTOMATIC ANSWERING MACHINE TO PANEL SURVEY QUESTIONS</em></strong></p>
<p><strong><em>The SVTP project: </em></strong>Virtual Surveys for Tourism</p>
<p>by Flavio Bonifacio</p>
<p><strong><em>ABSTRACT</em></strong></p>
<p>There are now problems interviewing people by phone, even for simple and short interviews.&nbsp; This for three main reasons:</p>
<ol>
<li>&nbsp;Inflation of commercial and/or promotional interviews</li>
<li>&nbsp;The decrease in the number of landline phones</li>
<li>Connecting people via mobile phone due to the absence of public directories of telephone numbers is extremely expensive.</li>
</ol>
<p>The SVTP project aims to reduce these difficulties by the construction of an answering machine. The machine will learn to answer from previous experiences, from surveys already conducted on subjects of interest (tourism in our case).</p>
<p>The project we will work on a panel of tourism surveys to create a virtual survey campaign by means of the automated answering machine.</p>
<p>The proposed machine will be able to answer survey questions.</p>
<p>We have already done 10 surveys in years 20,21,22,23 about tourism in Piedmont for the local administration. Three for Sommers, three for Autumns, three for Winter and one for testing purpose (Autumn 23)</p>
<p>We have already built a base line automated survey from the previous nine surveys and&nbsp;compared the answers of this survey on the test survey (Autumn 23) which results will be presented.</p>
<p>Furthermore, several simulation trials using different forecasting techniques will be done: logistic regression and decisional trees for example.</p>
<p>The models test will compare the model results with the baseline model to better preview the number of future Piedmont tourist visitors. The results of the test will be presented.</p>
<p>Something like what ChatGPT does building artificial questionnaires, just to give an example. We will generate the answers instead.</p>
<p>Philosophic implications of all of this are obvious. I will give you some clues in the presentation.</p>
<p>Turin, 12<sup>th</sup> January 2224</p>"
x,Anthony Million,,,,,,Collaborations Using Common Concepts - NACDA and CLOSER,"<p>The National Archive of Computerized Data on Aging (NACDA) and CLOSER - a UK partnership of longitudinal population studies (LPS) are collaborating with the aim of providing secondary data users with an effective way to view the research potential of age related data across LPS.<br><br>CLOSER and NACDA have implemented different metadata organization within their respective portals, CLOSER Discovery (discovery.closer.ac.uk) and NACDA Colectica portal (harmonize.icpsr.umich.edu). As two independent organizations, we intend to share information and in the future create an age-specific portal to allow comparisons across international borders, making it easier for researchers to find relevant data quickly, while supporting data harmonization, accessibility, interoperability, and reuse. Since the researcher journey broadly begins at a high level, then drills down to find the most appropriate variables, we propose to create a proof of concept at a conceptual group level.<br><br>The use of metadata standards and collaboration are essential for providing researchers with these infrastructures. Since both CLOSER Discovery and NACDA portals operate with metadata documented using the DDI metadata standard, we can leverage this in an interoperable way, without recreating efforts.<br><br>This PPT was presented at the annual IASSIST conference in 2024 to show how we have built a collaboration and will outline the likely approach to cross-country discoverability and best practice. The PPT consists of 27 slides.&nbsp;</p>"
x,Ben Chiewphasa,,,,,,Moving from project to infrastructure,"<p>CLOSER is the interdisciplinary partnership of leading UK social and biomedical longitudinal population studies, the UK Data Service and The British Library. Evolving from a project to a sustainable infrastructure presents a variety of challenges at all levels both within an organisation, and for its collaborators. The presentation will reflect on these challenges from the perspective of CLOSER and more generally within a university environment.&nbsp;</p>
<p>Areas covered will include creating structures and processes which support the long term, staff development and training, the development of software and changes in technology to support these organisational changes.&nbsp;</p>
<p>The presentation will also draw some lessons that could be more widely useful from this case study.</p>"
x,Beth Knazook,Erin Clary,Mikala Narlock,,,,De Facto Data Librarian? How Business Librarians' Data Skills Support the Future of Library Data Services,"<p>As we plot the future of data services in libraries, the interdisciplinary nature of data services means that increasing collaboration between functional data librarians and subject liaison librarians is a key trend. As well, subject liaison librarians are learning new skills and recognizing existing literacies to better serve their user populations. An example of this is data skils inherent to business librarianship. Business librarians are pragmatic data librarians, often not recognizing the extent of their data skills and abilities to provide data services. Especially in workplaces without specialist or standalone data librarians, business and economics librarians often function also as the de facto data librarian, handling data reference questions without additional support. The diverse, complex nature of business information means that business librarians have a significant ability to support patrons as they navigate siloed data, search for free data sources, and build datasets when no existing source is readily available.</p>
<p>This presentation will focus on how business librarians&rsquo; data skills complement services provided by functional data librarians, and how business librarians already have many of the skills to meet patrons&rsquo; data needs in the absence of specialist support. From their experiences as business librarians and examples from the literature, the presenters will lay out basic strengths and challenges data librarians or service coordinators can anticipate from building partnerships with business librarians. In particular, the session will present the value business librarians can bring to data sourcing, data synthesis, and incorporating data alongside other information sources. Presenters will also identify intervention points where data experts can support business librarians, in areas such as data visualization, alternative data sourcing, and systematic approaches to data literacy.</p>"
x,Brian Jackson,,,,,,'Wealth from the Sea': Finding Treasures in a Database of Social Science Data-linked Literature,"<p>The Inter-university Consortium for Political and Social Research (ICPSR), a social and behavioral research data archive, maintains the ICPSR Bibliography of Data-related Literature. Initially created with the support of a National Science Foundation grant in 1999, the Bibliography captures and documents the usage of ICPSR data in research and publications. It helps people discover data and gauge its potential utility. Now housing over 110,000 data-linked citations, the Bibliography&rsquo;s database continues to be expanded by librarians and information professionals who actively fish through research output, both published and unpublished, to find instances of ICPSR data usage. If a publication meets the Bibliography&rsquo;s collection criteria, the publication is displayed with the research study&rsquo;s record on ICPSR&rsquo;s websites. By equipping people with a compass to discover and evaluate the value of the thousands of social science datasets held by ICPSR, the Bibliography provides &ldquo;wealth from the sea&rdquo; of data.</p>"
